imgid,timestamp_seconds,tx,ty,tz,qx,qy,qz,qw
1291,49.985621,465664.198722,5247970.94701,472.454012,0.5595321791330937,-0.42512663867576683,0.43188979501959385,0.5653868468232602
1321,50.987603,465664.301125,5247970.528781,472.278771,0.561315812268627,-0.4219586717384168,0.4263933147285449,0.5701439988255307
1351,51.987067,465664.477817,5247970.103249,472.205338,0.5582702480035107,-0.4250753352869675,0.4234864478498423,0.5729786366107322
1381,52.996408,465664.864231,5247969.533564,472.301074,0.558648781384957,-0.4239102406705216,0.41951740723843894,0.5763825048834331
1411,53.987063,465665.369986,5247968.719927,472.47957,0.5494882661931098,-0.43519216276392536,0.42061418963438807,0.575981015540577
1441,54.988206,465665.661658,5247967.802949,472.485455,0.5466730679133319,-0.43770570956729776,0.4167931274436535,0.579522007818644
1471,55.989633,465665.829723,5247966.956482,472.504998,0.5362810712276358,-0.450316646582095,0.42083202427458266,0.5766436835680703
1501,56.99073,465666.003867,5247966.198347,472.514936,0.5321968520103882,-0.45403005848223016,0.4160075976107003,0.580999910012927
1531,57.987768,465666.086188,5247965.523712,472.500656,0.5320200950073798,-0.454141002549874,0.41567249642592147,0.5813148407071472
1561,59.000097,465666.261249,5247964.914525,472.432667,0.5322760530923214,-0.45231244069752025,0.4081509414016052,0.5877996838445015
1591,59.990803,465666.457996,5247964.287986,472.4187,0.5234986409491155,-0.4614102345415874,0.4045114894276014,0.5911177744796464
1621,60.98782,465666.627835,5247963.61565,472.356626,0.5162770992532144,-0.47022742264844214,0.40839683450336045,0.5878402447465849
1651,61.986624,465666.685631,5247962.953734,472.3237,0.5178436799537046,-0.46648821372326704,0.3986881117775486,0.596049040865375
1681,62.989481,465666.74326,5247962.338998,472.298479,0.5205244154091071,-0.46216335538407227,0.3929216282534599,0.6008926359623596
1711,63.986343,465666.831446,5247961.654929,472.267263,0.5198114999167963,-0.4636187491113397,0.39519692449865773,0.5988931882176398
1741,64.994689,465666.987233,5247960.856909,472.256034,0.5230747486798041,-0.4593581532828426,0.3924340679865416,0.6011475664008554
1771,65.990465,465667.155511,5247960.043497,472.282232,0.522522109266951,-0.45877111218284206,0.38782596109025286,0.6050543247165135
1801,66.990381,465667.426796,5247959.282904,472.332319,0.5159632827129279,-0.4655179265901073,0.38567935517350604,0.6068989915202491
1831,67.98807,465667.715606,5247958.497246,472.381611,0.5124728804364227,-0.4692408655237282,0.384646047539426,0.6076446124603065
1861,68.99519,465667.99334,5247957.718506,472.394831,0.519210709695582,-0.4619960697076063,0.38496365544152583,0.6072749414402281
1891,69.989999,465668.184598,5247956.992811,472.418322,0.519316988074159,-0.4619718340422671,0.38521795592285757,0.6070411986709165
1921,70.990095,465668.274677,5247956.293537,472.374027,0.5145618522136476,-0.4681534706543041,0.38886657883804454,0.6040208705198726
1951,71.989103,465668.287881,5247955.512363,472.393836,0.5139463018479896,-0.4681714802085945,0.38567535556065696,0.6065716643969034
1981,72.994975,465668.240305,5247954.639218,472.375383,0.516882980491182,-0.46414370822257167,0.3813580643194653,0.6098923096534855
2011,73.99058,465668.13455,5247953.829572,472.308824,0.5194107429080819,-0.4620882871993801,0.38408773304983856,0.6075882720275743
2041,75.00071,465668.133627,5247953.178164,472.285065,0.5122989501936327,-0.4678708849137198,0.37626763884962444,0.6140596751416617
2071,75.989663,465668.29163,5247952.585157,472.285649,0.5164948988238308,-0.462745001166446,0.3742209913266569,0.6156774586054946
2101,76.991726,465668.457255,5247951.975588,472.267146,0.5158779012401907,-0.4635184445798266,0.37375450699970947,0.6158962664635326
2131,77.996073,465668.52618,5247951.358508,472.331323,0.5129096820292048,-0.466662600005022,0.3733980236893792,0.6162171628104159
2161,79.000118,465668.687053,5247950.731803,472.411305,0.5269840006594798,-0.449336704595563,0.3662220567899335,0.6215028512184638
2191,79.992207,465668.922166,5247950.242739,472.422071,0.5269312259682627,-0.45021027095905414,0.3709168166635064,0.6181220835229634
2221,81.000374,465669.124911,5247949.854076,472.36045,0.5207496676335855,-0.4585131200142861,0.3768557619843584,0.6136491156136897
2251,81.991045,465669.215315,5247949.481769,472.228642,0.5173092907221127,-0.46345618093608343,0.381273219877008,0.6101067102477594
2281,82.992046,465669.269402,5247949.041253,472.095281,0.5159189871336438,-0.464330049499089,0.37777056995360414,0.6127924610535753
2311,83.989841,465669.379325,5247948.43129,472.050058,0.5128871544071026,-0.467762217825985,0.37821265333931847,0.612454458121364
2341,84.992067,465669.568193,5247947.61702,472.183103,0.5183603127689717,-0.4614782948994075,0.3761399359089332,0.613888522532563
2371,85.990138,465669.867298,5247946.819699,472.238948,0.5232055367007918,-0.45596355154683416,0.3754240746176515,0.6143370168107354
2401,87.001223,465670.125197,5247946.183102,472.234783,0.5176511618872487,-0.46253611312178483,0.3779153597410121,0.612599052828842
2431,88.00043,465670.340223,5247945.692682,472.391674,0.5141689561167118,-0.4658289510654246,0.3761391165447212,0.6141278677279624
2461,88.994146,465670.597957,5247945.27514,472.576764,0.5090529843214785,-0.4705285267108784,0.37281342995090877,0.6168290777459551
2491,89.991047,465670.835934,5247945.06063,472.677734,0.5085372027443965,-0.47042224585430636,0.37042402862915325,0.6187720606527443
2521,91.001091,465670.861544,5247945.155078,472.843606,0.5017703535689999,-0.4775555995042007,0.3707123669517512,0.6186594399590574
2551,91.995038,465670.805586,5247945.513965,473.003089,0.4925977704450745,-0.4860185760499811,0.3659837387042778,0.6222453561826954
2581,92.991947,465670.77871,5247945.857956,473.075739,0.48183951679723647,-0.49667609418888925,0.3638128202241844,0.6235252756339559
2611,93.988793,465670.754391,5247946.064116,472.935796,0.5003059737441045,-0.47810088344592505,0.36577105091165935,0.6223544136576601
2641,94.99071,465670.690166,5247946.104349,472.8166,0.5025347409889288,-0.47550668438639493,0.3641897751452216,0.6234725614513605
2671,95.990981,465670.681486,5247945.86881,472.710391,0.507616765401944,-0.4698938732073773,0.3625636575922679,0.6245578929117408
2701,96.996051,465670.735573,5247945.486816,472.549101,0.5100092123178501,-0.4663299293752573,0.35832532493343994,0.6277180591883095
2731,97.989612,465670.88766,5247944.802549,472.600566,0.5112914191381343,-0.4652104201067821,0.35839347880486416,0.6274667035707404
2761,98.992435,465671.113239,5247943.935207,472.898183,0.4964830255426947,-0.4806645200976617,0.3569411600357555,0.6285373757697993
2791,99.99452,465671.315385,5247943.034847,472.994008,0.5035840423153894,-0.47240296871053344,0.35413658914720203,0.6307343527238328
2821,100.998957,465671.437281,5247942.163725,473.048356,0.4950274743477307,-0.4810386306499339,0.35303687961510605,0.6315968627969684
2851,101.9915,465671.398187,5247941.31913,473.073188,0.49582201096906703,-0.4800703676450875,0.3519240506604026,0.6323309561570392
2881,102.999317,465671.14607,5247940.536924,473.004306,0.4948962961204514,-0.4817984989587485,0.3558877235932622,0.6295171091264804
2911,103.990109,465670.978821,5247939.816449,472.925542,0.4824535414177712,-0.49535336664458207,0.35915189024671407,0.6267962525889424
2941,104.996367,465670.815504,5247939.219367,472.832054,0.5032852415163334,-0.4730623536929217,0.35778678391317725,0.6284143477415393
2971,105.992047,465670.808923,5247938.838576,472.691937,0.49385789900633975,-0.4827896126142679,0.3573002303580488,0.6287727021165076
3001,106.990709,465670.875234,5247938.445678,472.640704,0.4976950437924478,-0.4772828077769685,0.3509776527990593,0.6334946345634113
3031,107.990602,465671.131077,5247937.934385,472.72788,0.5011702113593283,-0.47358207438916494,0.3506080475044311,0.6337368815908007
3061,108.995519,465671.404617,5247937.381885,472.740686,0.4969025974073303,-0.4780598744710438,0.35034875262322107,0.6338787870294535
3091,109.993408,465671.552718,5247936.835703,472.721199,0.4866688803873435,-0.48752454712867943,0.3457799178168362,0.637110245753502
3121,110.990173,465671.654266,5247936.185499,472.741795,0.49612185596121344,-0.47795531914797784,0.3459539992415785,0.636975389904911
3151,111.987977,465671.708128,5247935.536218,472.747013,0.493512577547191,-0.4804503380254877,0.34526813546501606,0.6374972338186525
3181,112.995073,465671.743383,5247934.894544,472.705076,0.4944138298100164,-0.4792253338683161,0.34397839513770667,0.6384175028536426
3211,113.991817,465671.819721,5247934.172172,472.603822,0.5066513439547257,-0.4649741969342699,0.3376510149691052,0.6427248275463882
3241,114.998782,465672.017062,5247933.477637,472.598213,0.5093511238134446,-0.46354271991820034,0.3441156556948336,0.6381802214002974
3271,115.993552,465672.254675,5247932.789523,472.654121,0.4940441295394332,-0.479801055162173,0.34392798738389535,0.6382984294410824
3301,116.997391,465672.542042,5247932.043611,472.726008,0.500692172570227,-0.4721443003708656,0.3410246673081937,0.6403821392274677
3331,117.996429,465672.864339,5247931.341767,472.785012,0.5068437918745919,-0.46552065542220133,0.34052904568828524,0.6406558038885585
3361,119.000177,465673.282429,5247930.67921,472.830454,0.50395926894303,-0.46849487052191274,0.3400789612244671,0.6410022711921934
3391,119.992133,465673.700018,5247929.974768,472.885458,0.4749775949208378,-0.49785835013845336,0.33803099204876313,0.6420813000977076
3421,120.993081,465674.011608,5247929.196064,472.918298,0.49424738215955794,-0.47910948069553094,0.3414070844794933,0.6400115884914074
3451,121.995711,465674.087836,5247928.36812,473.011451,0.4867211749743063,-0.486693430346099,0.3401676962243301,0.6407167401707322
3481,123.001768,465674.093458,5247927.610274,472.962691,0.49243988096003066,-0.4809908471104334,0.340661140638165,0.6403910960461294
3511,123.991598,465673.961025,5247926.886746,472.895355,0.4932094253059409,-0.4796939609769796,0.33859316340112244,0.6418666810869843
3541,124.998818,465673.90281,5247926.21781,472.856816,0.4903754093468098,-0.4819467193197094,0.3358891659572014,0.6437684256295068
3571,125.993836,465674.008379,5247925.529122,472.780571,0.49407709217195583,-0.4779595299109261,0.3348953258511435,0.6444281460964345
3601,126.997959,465674.183093,5247924.878859,472.698057,0.4918616755788648,-0.4801884848381356,0.3345158102013455,0.644662922658768
3631,127.992701,465674.38115,5247924.248058,472.575445,0.4921074499582689,-0.4794266402791302,0.332229049212648,0.6462230366874082
3661,128.992435,465674.567003,5247923.563276,472.476749,0.49506142129991904,-0.4763259915941677,0.33188484173159993,0.6464365326164108
3691,129.991502,465674.799659,5247922.850699,472.415437,0.49033859372572836,-0.48094675098077183,0.330658903613312,0.6472425941525767
3721,131.001279,465674.984334,5247922.079915,472.457284,0.49013373346316813,-0.48121537915256274,0.33025133909278265,0.647406159389865
3751,131.99623,465675.191356,5247921.235055,472.422652,0.4955690728044405,-0.4752182390144152,0.3288999768753003,0.6483854753148101
3781,132.991141,465675.413656,5247920.376353,472.377989,0.4871723390891509,-0.4840510902113974,0.3292600575966004,0.6480319965580762
3811,133.988976,465675.476214,5247919.481151,472.394718,0.4823370737001811,-0.4891109599125188,0.329570551383528,0.6476918000782146
3841,135.000631,465675.353516,5247918.561051,472.442591,0.4945601347078963,-0.4766658798750531,0.32929417271887174,0.6478929386357306
3871,135.994228,465675.318091,5247917.652003,472.431472,0.49466083728570437,-0.4762538782622563,0.32856044586723737,0.6484912743495382
3901,136.994127,465675.376267,5247916.736309,472.363614,0.4936237165671749,-0.47725158683986096,0.3284229839092596,0.6486176785606311
3931,137.992131,465675.402054,5247915.807462,472.363342,0.4970352195705813,-0.4732214059819238,0.3269876372458591,0.6496896001286198
3961,138.993058,465675.516015,5247914.925767,472.393601,0.4911514077458931,-0.4786722416621653,0.32478610250320383,0.6512734965835195
3991,139.992956,465675.727216,5247914.171308,472.302796,0.4914854655477698,-0.477184098492549,0.3214779104628758,0.6537502018244955
4021,141.002067,465676.07029,5247913.518038,472.329674,0.4852007327390021,-0.48316403932737917,0.3197934616842524,0.6548777763173742
4051,141.991779,465676.469208,5247912.813142,472.351227,0.49116575099869114,-0.47779726769477754,0.3221312191073248,0.6532208307346954
4081,142.99779,465676.847238,5247912.05399,472.341833,0.48852465921932586,-0.48062261227864816,0.32225000377262397,0.6530700551775694
4111,144.000772,465677.074713,5247911.293544,472.35869,0.4791861879040674,-0.4888133308944308,0.3176545235068793,0.6561537385075824
4141,145.001041,465677.301393,5247910.538839,472.346646,0.4735748873928123,-0.4945033906352163,0.31790627170057406,0.6558420732879223
4171,145.995818,465677.548454,5247909.760032,472.318042,0.4770140431452213,-0.4908232833540283,0.31651085225398085,0.6567883887259877
4201,146.9988,465677.710473,5247908.946931,472.359657,0.4847178187982416,-0.48395259403345325,0.31966698260162346,0.6547148563322355
4231,147.994496,465677.979929,5247908.142921,472.406337,0.48829104741734586,-0.47920691155992,0.3158935010398726,0.6573765168653702
4261,148.998262,465678.417187,5247907.268977,472.441286,0.4802575568697865,-0.4869750801655583,0.3145430771496183,0.6582329397595208
4291,149.994169,465678.843927,5247906.381733,472.556363,0.4866366602180332,-0.4807588735040304,0.3146035458161188,0.6580883492654304
4321,150.996059,465679.221401,5247905.489051,472.646369,0.47681576702661216,-0.49124457989174936,0.3167988873514349,0.656478447486812
4351,151.992068,465679.542443,5247904.550612,472.782231,0.49382501452264355,-0.4740098122867731,0.3167365959390821,0.6566045093360933
4381,153.000973,465679.733586,5247903.663522,472.994394,0.48887655698007293,-0.4782477565347198,0.31409245305230254,0.6585018802861569
4411,153.999721,465679.810587,5247902.890954,473.08618,0.48857063408610957,-0.4798228915768742,0.3189677558938825,0.6552314849940628
4441,154.993557,465679.771258,5247902.339836,473.104458,0.4866227439199953,-0.48204118981808924,0.32005728303610986,0.6545211470946367
4471,155.99458,465679.69347,5247901.998038,473.002493,0.47303507738532974,-0.49457262505787064,0.3163535327739534,0.6569293541986545
4501,156.997565,465679.456902,5247901.877123,472.792382,0.4774818004781598,-0.49223319304429325,0.32383656528673915,0.6518032623889222
4531,157.99414,465679.128211,5247901.762294,472.541977,0.4655320304219289,-0.5026492666476263,0.31795840634187467,0.6553824038119843
4561,158.99439,465678.93463,5247901.413174,472.276177,0.44721169258341775,-0.5175824128210281,0.30818346015720643,0.6611604214111496
4591,159.994194,465678.827493,5247900.797501,472.09449,0.47150107730874513,-0.4956054565629096,0.31195476379024645,0.6593528576341607
4621,160.995299,465678.763894,5247899.933715,472.040384,0.4937393454423588,-0.474342274687296,0.31516346284110036,0.6571855574315667
4651,162.001043,465678.913543,5247899.093039,472.137614,0.4883356349822277,-0.478418361710142,0.3104073950106221,0.6605236013253484
4681,163.001987,465679.143991,5247898.264934,472.187005,0.49570374675582957,-0.47203715970555743,0.3144860798450235,0.6576908246988489
4711,163.990828,465679.278828,5247897.560004,472.147836,0.500485588297595,-0.4666763421425083,0.3140434497297441,0.6581064346082178
4741,164.993044,465679.354914,5247897.055281,472.077158,0.49583761974006046,-0.4720310942964326,0.31645780654166056,0.656647666215806
4771,165.994055,465679.437506,5247896.616045,472.005941,0.4968731659460944,-0.47048044884134443,0.3146164993264338,0.6578614311329796
4801,166.995082,465679.555285,5247896.099711,472.00964,0.4913434314676198,-0.4764630647042212,0.31506647920354197,0.6574934935104451
4831,167.991661,465679.707783,5247895.525064,472.00629,0.4939106404908336,-0.47350594484777864,0.3134822266657443,0.6584628258060086
4861,168.992593,465679.820482,5247894.906662,471.985622,0.4940495802691379,-0.47233819501774965,0.3097653443531885,0.6609516421047863
4891,169.991622,465680.024001,5247894.30152,471.998505,0.49140353709276496,-0.4744728980332451,0.3074085885458869,0.6624937678596523
4921,170.995588,465680.263885,5247893.659036,472.015286,0.48594613895073935,-0.48114794599461047,0.31102124999105846,0.6600142317844637
4951,171.994336,465680.3479,5247892.933847,472.081196,0.5030335945804768,-0.46439006286520274,0.31249913731791534,0.6585160297297675
4981,172.995352,465680.461398,5247892.259599,472.157626,0.4927799375059647,-0.47435590623738955,0.31034433114699955,0.6601824017150442
5011,173.990129,465680.63558,5247891.645278,472.293175,0.49687727804376425,-0.47037323273647924,0.3113329309988674,0.6594951088253107
5041,174.995072,465680.86499,5247891.12441,472.478646,0.49923762201936495,-0.4671422746368315,0.3099638486540729,0.6606529380356464
5071,175.994952,465681.180771,5247890.71608,472.51393,0.4968640898773043,-0.4698601048006291,0.3111255257428808,0.6599685335971375
5101,176.994965,465681.299488,5247890.444169,472.578319,0.5035859513199687,-0.46345366509556724,0.313251419877444,0.6583961101703241
5131,177.993081,465681.294272,5247890.190907,472.575397,0.503702036764441,-0.46387177835686116,0.3156307933013664,0.656874747363108
5161,178.997053,465681.263679,5247890.039684,472.546125,0.49094890376276445,-0.4777926720613829,0.3186215952706095,0.6551058047718668
5191,179.996241,465681.271327,5247889.890905,472.536872,0.507924413566854,-0.4590277772959035,0.314279931266642,0.6576734862958858
5221,180.998178,465681.363647,5247889.744476,472.475518,0.5121863598709347,-0.45547078530676877,0.3173838904435238,0.6553464447001525
5251,181.992783,465681.508073,5247889.523772,472.367448,0.5048569405620964,-0.46187488585362296,0.3123943837904917,0.6589391537616668
5281,182.994665,465681.712694,5247889.185264,472.3999,0.5099905575944775,-0.4550131433844992,0.30759255995373275,0.6620116974592973
5311,183.994731,465681.996235,5247888.822345,472.520443,0.502827534785029,-0.46212746976021496,0.30657672026631744,0.6630334731714381
5341,184.999516,465682.240217,5247888.571795,472.649684,0.5041229351485449,-0.46081644431444113,0.30791824017000025,0.6623402662357332
5371,185.993211,465682.339053,5247888.436021,472.696065,0.502590198164219,-0.4630171168461334,0.3110547950644208,0.6605022003628573
5401,187.000075,465682.363963,5247888.295293,472.708861,0.5058275283399212,-0.459722930722374,0.31147297966627707,0.660134775238639
5431,187.997615,465682.362059,5247888.175584,472.717172,0.5075077434965317,-0.45828031407303543,0.3134213932614845,0.6589249382670294
5461,189.001527,465682.343822,5247888.026776,472.744784,0.5093431809355096,-0.45563812807426696,0.31163540396805556,0.6601869396414486
5491,189.993201,465682.342592,5247887.86398,472.745676,0.5046836067437583,-0.460399059952378,0.31120246912302246,0.660666470990327
5521,190.995736,465682.393726,5247887.688041,472.770598,0.5093357030398036,-0.4567015752813399,0.31549903610135793,0.6576178000659697
5551,191.992527,465682.466958,5247887.600148,472.819971,0.5133306917222744,-0.4517765770679008,0.3134014265913934,0.6589150712794644
5581,192.994367,465682.524422,5247887.641428,472.834319,0.50432852593492,-0.46038520297574803,0.3107825636685423,0.6611447654855164
5611,193.99024,465682.519752,5247887.693103,472.830338,0.5111771196859343,-0.4533494848498588,0.3125936249613829,0.6598919779247676
5641,194.995069,465682.505073,5247887.790012,472.820367,0.49890786087786293,-0.46484994705409804,0.3066625781935155,0.6640508536353095
5671,195.994729,465682.527182,5247887.810082,472.827648,0.5080642573874681,-0.4577718530455187,0.3166053509528532,0.657325408509829
5701,197.002699,465682.619976,5247887.604351,472.887368,0.5011280850663349,-0.46159366585372946,0.3035983647682292,0.6660555253967354
5731,198.00143,465682.699835,5247887.384087,472.939454,0.5035075392426427,-0.45923511109528536,0.30507384615886934,0.6652166707569451
5761,198.994356,465682.677143,5247887.284081,472.933221,0.5087880955996094,-0.4550334650705818,0.30958062860047003,0.6619962642170425
5791,199.996577,465682.611813,5247887.321438,472.885884,0.5152717581731252,-0.4510377790255601,0.3205693310872227,0.654442695036897
5821,201.005572,465682.543305,5247887.395084,472.815704,0.5326208793990467,-0.4356455022722191,0.33548416229487305,0.6434115106426676
5851,202.001508,465682.551102,5247887.413251,472.802383,0.5333717940807887,-0.43456562249713226,0.3337539184017206,0.6444187853982987
5881,203.003441,465682.665308,5247887.365264,472.878904,0.5416161066637087,-0.426175712337891,0.3377865921159264,0.6410354696913785
5911,203.996374,465682.882154,5247887.334557,472.998795,0.5403898145216287,-0.4306934816192105,0.3512133400508841,0.6317682826973072
5941,205.002457,465683.041699,5247887.293922,473.041678,0.5454727761517564,-0.4204771203323366,0.3342295430357742,0.6433887272220575
5971,205.995449,465683.104896,5247887.248822,473.066982,0.5332697076038627,-0.4351058196394334,0.33601861877879363,0.6429602106677982
6001,206.995591,465683.158811,5247887.094506,473.037088,0.5086332863137948,-0.46486114838517784,0.3456352863658053,0.6369713820843688
6031,207.99354,465683.456086,5247886.561006,473.128516,0.5355874679623531,-0.4338200232331263,0.339680878922192,0.6399712119293588
6061,208.994515,465683.982451,5247885.936211,473.201675,0.5393185801219899,-0.42776491661249727,0.3339685574156542,0.6439081051737203
6091,209.995355,465684.351366,5247885.415382,473.182021,0.5524258318864687,-0.4100737503600784,0.3251711756228926,0.6487903560274222
6121,210.997215,465684.376924,5247885.186268,473.096085,0.5574876695797809,-0.40542697523284676,0.33134018996590986,0.6442438548666214
6151,211.995136,465684.205604,5247885.255447,473.026513,0.5703676425871104,-0.39026297315267783,0.3332649462780768,0.6413345770016811
6181,213.00014,465684.034247,5247885.46388,473.002481,0.5710676991452814,-0.3898998360940555,0.3365535001987129,0.6392116568952242
6211,213.999303,465683.986288,5247885.82862,472.939713,0.6233910226203454,-0.29926699797224987,0.2714338557680439,0.6694374943069219
6241,214.997074,465684.23677,5247885.688511,473.047051,0.6666917431823384,-0.1864173568201487,0.17692493935122763,0.6996200786743106
6271,215.99653,465684.774255,5247885.271403,473.135619,0.685254799923785,-0.10193532541479795,0.09294793816492936,0.7151193812258767
6301,217.003469,465685.52856,5247884.691355,473.195982,0.6891173625667502,-0.08502343293100652,0.08522101611076638,0.7145807546210025
6331,217.998276,465686.22481,5247884.197148,473.150592,0.6895763682894387,-0.07457967910213645,0.07805044337173196,0.7161217997318938
6361,219.004258,465686.601319,5247883.906513,473.113869,0.692353851319901,-0.020879289622714958,0.026374529378570523,0.7207736010894198
6391,220.003159,465686.685053,5247883.944118,473.166079,0.6909535919536668,0.011871849144286769,0.0006617766580724466,0.7228013247192315
6421,220.999835,465686.665969,5247884.123918,473.216817,0.6900264373423014,0.00947967822258063,0.004799635783193864,0.723706166179228
6451,221.995702,465686.775469,5247884.3169,473.23202,0.6881371577815592,0.010373969252154959,0.0036862373898032554,0.7254971016456089
6481,223.000583,465687.067812,5247884.532541,473.281478,0.6893768228289684,0.012601850107801476,0.007366099876506743,0.7242558457428612
6511,224.003641,465687.484716,5247884.871066,473.357861,0.6898576430993776,0.014567030293777166,0.008319393669044928,0.7237506625729413
6541,225.004637,465688.107946,5247885.263524,473.450646,0.6875543150321191,0.019972328152502616,-7.612557393360704e-05,0.7258582259599867
6571,226.003507,465688.778461,5247885.677556,473.574724,0.6867730946890351,0.013079714922456003,0.0039960841265466954,0.7267431931435246
6601,227.003431,465689.476843,5247886.162458,473.703696,0.68168320385306,0.01425965798499822,-0.0029908195616654976,0.7315023764398362
6631,228.000127,465690.125062,5247886.723443,473.856678,0.6842481410782643,0.0210559154905644,-0.0024412365204125076,0.7289411294597427
