image_id,image_timestamp,pose_timestamp,absolute_delta_seconds,pose_index
198,13.555872,,,
199,13.592107,,,
200,13.62544,,,
201,13.658773,,,
202,13.692106,,,
203,13.725439,,,
204,13.758772,,,
205,13.808127,,,
206,13.84146,,,
207,13.874793,,,
208,13.908126,,,
209,13.941459,13.989764,0.048305,7
210,13.974792,13.989764,0.014972,7
211,13.989764,13.989764,0.0,7
212,14.023097,13.989764,0.033333,7
213,14.05643,,,
214,14.089763,,,
215,14.123096,,,
216,14.156429,,,
217,14.191526,,,
218,14.224859,,,
219,14.258192,,,
220,14.291525,,,
221,14.324858,,,
222,14.358191,,,
223,14.387222,,,
224,14.420555,,,
225,14.453888,,,
226,14.487221,,,
227,14.520554,,,
228,14.553887,,,
229,14.588057,,,
230,14.62139,,,
231,14.654723,,,
232,14.688056,,,
233,14.721389,,,
234,14.754722,,,
235,14.796032,,,
236,14.829365,,,
237,14.862698,,,
238,14.896031,,,
239,14.929364,,,
240,14.962697,14.990721,0.028024,8
241,14.990721,14.990721,0.0,8
242,15.024054,14.990721,0.033333,8
243,15.057387,,,
244,15.09072,,,
245,15.124053,,,
246,15.157386,,,
247,15.185446,,,
248,15.218779,,,
249,15.252112,,,
250,15.285445,,,
251,15.318778,,,
252,15.352111,,,
253,15.387279,,,
254,15.420612,,,
255,15.453945,,,
256,15.487278,,,
257,15.520611,,,
258,15.553944,,,
259,15.585104,,,
260,15.618437,,,
261,15.65177,,,
262,15.685103,,,
263,15.718436,,,
264,15.751769,,,
265,15.786962,,,
266,15.820295,,,
267,15.853628,,,
268,15.886961,,,
269,15.920294,,,
270,15.953627,15.983557,0.02993,9
271,15.983557,15.983557,0.0,9
272,16.01689,15.983557,0.033333,9
273,16.050223,,,
274,16.083556,,,
275,16.116889,,,
276,16.150222,,,
277,16.191395,,,
278,16.224728,,,
279,16.258061,,,
280,16.291394,,,
281,16.324727,,,
282,16.35806,,,
283,16.388182,,,
284,16.421515,,,
285,16.454848,,,
286,16.488181,,,
287,16.521514,,,
288,16.554847,,,
289,16.59005,,,
290,16.623383,,,
291,16.656716,,,
292,16.690049,,,
293,16.723382,,,
294,16.756715,,,
295,16.784751,,,
296,16.818084,,,
297,16.851417,,,
298,16.88475,,,
299,16.918083,,,
300,16.951416,16.989655,0.038239,10
301,16.989655,16.989655,0.0,10
302,17.022988,16.989655,0.033333,10
303,17.056321,,,
304,17.089654,,,
305,17.122987,,,
306,17.15632,,,
307,17.187411,,,
308,17.220744,,,
309,17.254077,,,
310,17.28741,,,
311,17.320743,,,
312,17.354076,,,
313,17.391383,,,
314,17.424716,,,
315,17.458049,,,
316,17.491382,,,
317,17.524715,,,
318,17.558048,,,
319,17.588112,,,
320,17.621445,,,
321,17.654778,,,
322,17.688111,,,
323,17.721444,,,
324,17.754777,,,
325,17.784803,,,
326,17.818136,,,
327,17.851469,,,
328,17.884802,,,
329,17.918135,,,
330,17.951468,17.985701,0.034233,11
331,17.985701,17.985701,0.0,11
332,18.019034,17.985701,0.033333,11
333,18.052367,,,
334,18.0857,,,
335,18.119033,,,
336,18.152366,,,
337,18.192591,,,
338,18.225924,,,
339,18.259257,,,
340,18.29259,,,
341,18.325923,,,
342,18.359256,,,
343,18.384222,,,
344,18.417555,,,
345,18.450888,,,
346,18.484221,,,
347,18.517554,,,
348,18.550887,,,
349,18.588175,,,
350,18.621508,,,
